tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,dog_category,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count
892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,Ti i Pine He'  yicl boy Only ever er in e ole of  donu 1310 coMgUWQ76dJU,13.0,10.0,Phineas,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,Orange,0.0970486,False,Bagel,0.0858511,False,Banana,0.07611,False,33809,7007
892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,Ti i Tilly Se' ju cecking u on you Hoe you're doing ok If no e' vilble for  nug boo e wole bi 1310 co0Xxu71qeIV,13.0,10.0,Tilly,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,29328,5301
891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,Ti i Arcie He i  rre Norwegin Pouncing Corgo Live in e ll gr You never know wen one y rike 1210 cowUnZnVJB,12.0,10.0,Archie,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,22048,3480
891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,Ti i Drl Se coenced  nooze id el 1310 en o e be of u coD36d7qLQ,13.0,10.0,Darla,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper towel,0.1702779999999999,False,Labrador retriever,0.1680859999999999,True,Spatula,0.0408359,False,36935,7226
891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,"Ti i Frnklin He would like you o o clling i ""cue"" He i  very fierce rk nd ould be reeced  uc 1210 #BrkWeek coAUZn91f7f",12.0,10.0,Franklin,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712,True,English springer,0.2257699999999999,True,German short-haired pointer,0.175219,True,35310,7760
891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,Here we ve  jeic gre wie brecing off Sou Afric' co Aboluely *ckin breking 1310 IG ucker_rlo #BrkWeek cokQ04fDDR,13.0,10.0,,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake bay retriever,0.425595,True,Irish terrier,0.116317,True,Indian elephant,0.0769021999999999,False,17810,2600
890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,Mee Jx He enjoy ice cre o uc e ge nervou round i 1310 el Jx enjoy ore ing by clicking belowcoZr4WfA1H coVJBRMnxl,13.0,10.0,Jax,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.341703,True,Border collie,0.199287,True,Ice lolly,0.193548,False,10364,1663
890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,Wen you wc your owner cll noer dog  good boy bu en ey urn bck o you nd y you're  gre boy 1310 cov0nONBcwxq,13.0,10.0,,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo dog,0.1784059999999999,True,Pembroke,0.0765069,True,56861,15752
890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,Ti i Zoey Se doen' wn o be one of e cry rk Ju wn o be  nuggly eble boe 1310 #BrkWeek co9TwLuAGH0b,13.0,10.0,Zoey,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish terrier,0.4875739999999999,True,Irish setter,0.193054,True,Chesapeake bay retriever,0.118184,True,24524,3619
890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,Ti i Cie Se i  college u Sudying inernionl doggo counicion nd ick eory 1410 o elegn uc oiice co1bfwz5S2A,14.0,10.0,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,27959,6098
